Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
Wales,W92000004,Nation,2020-08-02,3,1565
Scotland,S92000003,Nation,2020-08-02,0,2491
Northern Ireland,N92000002,Nation,2020-08-02,0,556
United Kingdom,K02000001,UK,2020-08-02,8,46201
England,E92000001,Nation,2020-08-02,5,41589
Wales,W92000004,Nation,2020-08-01,2,1562
Scotland,S92000003,Nation,2020-08-01,0,2491
Northern Ireland,N92000002,Nation,2020-08-01,0,556
United Kingdom,K02000001,UK,2020-08-01,74,46193
England,E92000001,Nation,2020-08-01,72,41584
Wales,W92000004,Nation,2020-07-31,6,1560
Scotland,S92000003,Nation,2020-07-31,0,2491
Northern Ireland,N92000002,Nation,2020-07-31,0,556
United Kingdom,K02000001,UK,2020-07-31,120,46119
England,E92000001,Nation,2020-07-31,114,41512
Wales,W92000004,Nation,2020-07-30,0,1554
Scotland,S92000003,Nation,2020-07-30,0,2491
Northern Ireland,N92000002,Nation,2020-07-30,0,556
United Kingdom,K02000001,UK,2020-07-30,38,45999
England,E92000001,Nation,2020-07-30,38,41398
Wales,W92000004,Nation,2020-07-29,5,1554
Scotland,S92000003,Nation,2020-07-29,0,2491
Northern Ireland,N92000002,Nation,2020-07-29,0,556
United Kingdom,K02000001,UK,2020-07-29,83,45961
England,E92000001,Nation,2020-07-29,78,41360
Wales,W92000004,Nation,2020-07-28,0,1549
Scotland,S92000003,Nation,2020-07-28,0,2491
Northern Ireland,N92000002,Nation,2020-07-28,0,556
United Kingdom,K02000001,UK,2020-07-28,119,45878
England,E92000001,Nation,2020-07-28,119,41282
Wales,W92000004,Nation,2020-07-27,0,1549
Scotland,S92000003,Nation,2020-07-27,0,2491
Northern Ireland,N92000002,Nation,2020-07-27,0,556
United Kingdom,K02000001,UK,2020-07-27,7,45759
England,E92000001,Nation,2020-07-27,7,41163
Wales,W92000004,Nation,2020-07-26,1,1549
Scotland,S92000003,Nation,2020-07-26,0,2491
Northern Ireland,N92000002,Nation,2020-07-26,0,556
United Kingdom,K02000001,UK,2020-07-26,14,45752
England,E92000001,Nation,2020-07-26,13,41156
Wales,W92000004,Nation,2020-07-25,0,1548
Scotland,S92000003,Nation,2020-07-25,0,2491
Northern Ireland,N92000002,Nation,2020-07-25,0,556
United Kingdom,K02000001,UK,2020-07-25,61,45738
England,E92000001,Nation,2020-07-25,61,41143
Wales,W92000004,Nation,2020-07-24,0,1548
Scotland,S92000003,Nation,2020-07-24,0,2491
Northern Ireland,N92000002,Nation,2020-07-24,0,556
United Kingdom,K02000001,UK,2020-07-24,123,45677
England,E92000001,Nation,2020-07-24,123,41082
Wales,W92000004,Nation,2020-07-23,0,1548
Scotland,S92000003,Nation,2020-07-23,0,2491
Northern Ireland,N92000002,Nation,2020-07-23,0,556
United Kingdom,K02000001,UK,2020-07-23,53,45554
England,E92000001,Nation,2020-07-23,53,40959
Wales,W92000004,Nation,2020-07-22,1,1548
Scotland,S92000003,Nation,2020-07-22,0,2491
Northern Ireland,N92000002,Nation,2020-07-22,0,556
United Kingdom,K02000001,UK,2020-07-22,79,45501
England,E92000001,Nation,2020-07-22,78,40906
Wales,W92000004,Nation,2020-07-21,0,1547
Scotland,S92000003,Nation,2020-07-21,0,2491
Northern Ireland,N92000002,Nation,2020-07-21,0,556
United Kingdom,K02000001,UK,2020-07-21,110,45422
England,E92000001,Nation,2020-07-21,110,40828
Wales,W92000004,Nation,2020-07-20,0,1547
Scotland,S92000003,Nation,2020-07-20,0,2491
Northern Ireland,N92000002,Nation,2020-07-20,0,556
United Kingdom,K02000001,UK,2020-07-20,11,45312
England,E92000001,Nation,2020-07-20,11,40718
Wales,W92000004,Nation,2020-07-19,1,1547
Scotland,S92000003,Nation,2020-07-19,0,2491
Northern Ireland,N92000002,Nation,2020-07-19,0,556
United Kingdom,K02000001,UK,2020-07-19,28,45301
England,E92000001,Nation,2020-07-19,27,40707
Wales,W92000004,Nation,2020-07-18,0,1546
Scotland,S92000003,Nation,2020-07-18,0,2491
Northern Ireland,N92000002,Nation,2020-07-18,0,556
United Kingdom,K02000001,UK,2020-07-18,40,45273
England,E92000001,Nation,2020-07-18,40,40680
Wales,W92000004,Nation,2020-07-17,1,1546
Scotland,S92000003,Nation,2020-07-17,1,2491
Northern Ireland,N92000002,Nation,2020-07-17,0,556
United Kingdom,K02000001,UK,2020-07-17,114,45233
