Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Wolverhampton,E08000031,Upper tier local authority,2020-05-07,0,,,916,,
Walsall,E08000030,Upper tier local authority,2020-05-07,0,,,1044,,
Solihull,E08000029,Upper tier local authority,2020-05-07,0,,,607,,
Sandwell,E08000028,Upper tier local authority,2020-05-07,0,,,1081,,
Dudley,E08000027,Upper tier local authority,2020-05-07,0,,,867,,
Coventry,E08000026,Upper tier local authority,2020-05-07,0,,,728,,
Birmingham,E08000025,Upper tier local authority,2020-05-07,0,,,3060,,
Sunderland,E08000024,Upper tier local authority,2020-05-07,5,,,1276,,
South Tyneside,E08000023,Upper tier local authority,2020-05-07,2,,,643,,
North Tyneside,E08000022,Upper tier local authority,2020-05-07,0,,,508,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-07,5,,,983,,
Sheffield,E08000019,Upper tier local authority,2020-05-07,12,,,2327,,
Rotherham,E08000018,Upper tier local authority,2020-05-07,4,,,793,,
Doncaster,E08000017,Upper tier local authority,2020-05-07,0,,,588,,
Barnsley,E08000016,Upper tier local authority,2020-05-07,2,,,749,,
Wirral,E08000015,Upper tier local authority,2020-05-07,0,,,1093,,
Sefton,E08000014,Upper tier local authority,2020-05-07,1,,,853,,
St. Helens,E08000013,Upper tier local authority,2020-05-07,0,,,687,,
Liverpool,E08000012,Upper tier local authority,2020-05-07,0,,,1503,,
Knowsley,E08000011,Upper tier local authority,2020-05-07,0,,,606,,
Wigan,E08000010,Upper tier local authority,2020-05-07,0,,,923,,
Trafford,E08000009,Upper tier local authority,2020-05-07,0,,,669,,
Tameside,E08000008,Upper tier local authority,2020-05-07,0,,,528,,
Stockport,E08000007,Upper tier local authority,2020-05-07,0,,,938,,
Salford,E08000006,Upper tier local authority,2020-05-07,0,,,855,,
Rochdale,E08000005,Upper tier local authority,2020-05-07,0,,,640,,
Oldham,E08000004,Upper tier local authority,2020-05-07,0,,,903,,
Manchester,E08000003,Upper tier local authority,2020-05-07,0,,,1279,,
Bury,E08000002,Upper tier local authority,2020-05-07,0,,,632,,
Bolton,E08000001,Upper tier local authority,2020-05-07,0,,,875,,
Dorset,E06000059,Upper tier local authority,2020-05-07,0,,,343,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-07,0,,,444,,
Northumberland,E06000057,Upper tier local authority,2020-05-07,0,,,847,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-07,0,,,543,,
Bedford,E06000055,Upper tier local authority,2020-05-07,0,,,490,,
Wiltshire,E06000054,Upper tier local authority,2020-05-07,0,,,479,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-07,3,,,532,,
Shropshire,E06000051,Upper tier local authority,2020-05-07,0,,,586,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-07,0,,,897,,
Cheshire East,E06000049,Upper tier local authority,2020-05-07,0,,,980,,
County Durham,E06000047,Upper tier local authority,2020-05-07,0,,,1646,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-07,1,,,152,,
Southampton,E06000045,Upper tier local authority,2020-05-07,2,,,522,,
Portsmouth,E06000044,Upper tier local authority,2020-05-07,0,,,307,,
Brighton and Hove,E06000043,Upper tier local authority,2020-05-07,0,,,399,,
Milton Keynes,E06000042,Upper tier local authority,2020-05-07,0,,,489,,
Wokingham,E06000041,Upper tier local authority,2020-05-07,0,,,406,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-05-07,0,,,270,,
Slough,E06000039,Upper tier local authority,2020-05-07,0,,,428,,
Reading,E06000038,Upper tier local authority,2020-05-07,0,,,529,,
West Berkshire,E06000037,Upper tier local authority,2020-05-07,0,,,343,,
Bracknell Forest,E06000036,Upper tier local authority,2020-05-07,0,,,228,,
Medway,E06000035,Upper tier local authority,2020-05-07,0,,,675,,
Thurrock,E06000034,Upper tier local authority,2020-05-07,0,,,295,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-05-07,0,,,319,,
Luton,E06000032,Upper tier local authority,2020-05-07,0,,,662,,
Peterborough,E06000031,Upper tier local authority,2020-05-07,0,,,294,,
Swindon,E06000030,Upper tier local authority,2020-05-07,0,,,397,,
Torbay,E06000027,Upper tier local authority,2020-05-07,0,,,209,,
Plymouth,E06000026,Upper tier local authority,2020-05-07,1,,,329,,
South Gloucestershire,E06000025,Upper tier local authority,2020-05-07,0,,,371,,
North Somerset,E06000024,Upper tier local authority,2020-05-07,0,,,287,,
"Bristol, City of",E06000023,Upper tier local authority,2020-05-07,0,,,657,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-05-07,0,,,220,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-07,3,,,588,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-05-07,0,,,303,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-07,0,,,348,,
Nottingham,E06000018,Upper tier local authority,2020-05-07,0,,,563,,
Rutland,E06000017,Upper tier local authority,2020-05-07,0,,,24,,
Leicester,E06000016,Upper tier local authority,2020-05-07,0,,,730,,
Derby,E06000015,Upper tier local authority,2020-05-07,1,,,519,,
York,E06000014,Upper tier local authority,2020-05-07,3,,,380,,
North Lincolnshire,E06000013,Upper tier local authority,2020-05-07,1,,,415,,
North East Lincolnshire,E06000012,Upper tier local authority,2020-05-07,0,,,138,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-05-07,5,,,718,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-05-07,4,,,569,,
Blackpool,E06000009,Upper tier local authority,2020-05-07,0,,,493,,
Blackburn with Darwen,E06000008,Upper tier local authority,2020-05-07,0,,,349,,
Warrington,E06000007,Upper tier local authority,2020-05-07,0,,,664,,
Halton,E06000006,Upper tier local authority,2020-05-07,0,,,341,,
Darlington,E06000005,Upper tier local authority,2020-05-07,1,,,323,,
Stockton-on-Tees,E06000004,Upper tier local authority,2020-05-07,0,,,433,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-05-07,0,,,356,,
Middlesbrough,E06000002,Upper tier local authority,2020-05-07,0,,,615,,
Hartlepool,E06000001,Upper tier local authority,2020-05-07,0,,,230,,
England,E92000001,Nation,2020-05-06,541,92,449,133513,131932,1581
South West,E12000009,Region,2020-05-06,54,,,6902,,
South East,E12000008,Region,2020-05-06,58,,,18925,,
London,E12000007,Region,2020-05-06,57,,,25618,,
East of England,E12000006,Region,2020-05-06,38,,,11848,,
West Midlands,E12000005,Region,2020-05-06,71,,,14569,,
East Midlands,E12000004,Region,2020-05-06,40,,,7464,,
Yorkshire and The Humber,E12000003,Region,2020-05-06,92,,,11919,,
North West,E12000002,Region,2020-05-06,42,,,21861,,
North East,E12000001,Region,2020-05-06,67,,,8783,,
Suffolk,E10000029,Upper tier local authority,2020-05-06,2,,,1235,,
Staffordshire,E10000028,Upper tier local authority,2020-05-06,27,,,1934,,
Somerset,E10000027,Upper tier local authority,2020-05-06,1,,,557,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-06,1,,,1688,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-06,6,,,1203,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-06,14,,,1134,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-06,4,,,1109,,
Norfolk,E10000020,Upper tier local authority,2020-05-06,23,,,1827,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-06,2,,,908,,
Leicestershire,E10000018,Upper tier local authority,2020-05-06,5,,,1014,,
Lancashire,E10000017,Upper tier local authority,2020-05-06,1,,,3092,,
Kent,E10000016,Upper tier local authority,2020-05-06,24,,,4050,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-06,5,,,2488,,
Hampshire,E10000014,Upper tier local authority,2020-05-06,9,,,2978,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-06,6,,,1315,,
Essex,E10000012,Upper tier local authority,2020-05-06,6,,,2813,,
East Sussex,E10000011,Upper tier local authority,2020-05-06,8,,,643,,
Devon,E10000008,Upper tier local authority,2020-05-06,10,,,766,,
Derbyshire,E10000007,Upper tier local authority,2020-05-06,18,,,1395,,
Cumbria,E10000006,Upper tier local authority,2020-05-06,10,,,2062,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-06,1,,,882,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-06,1,,,877,,
Westminster,E09000033,Upper tier local authority,2020-05-06,1,,,636,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-06,3,,,742,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-06,1,,,610,,
Southwark,E09000028,Upper tier local authority,2020-05-06,1,,,1229,,
Redbridge,E09000026,Upper tier local authority,2020-05-06,2,,,708,,
Newham,E09000025,Upper tier local authority,2020-05-06,6,,,973,,
Merton,E09000024,Upper tier local authority,2020-05-06,3,,,670,,
Lambeth,E09000022,Upper tier local authority,2020-05-06,2,,,1165,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-06,1,,,476,,
Hounslow,E09000018,Upper tier local authority,2020-05-06,2,,,694,,
Hillingdon,E09000017,Upper tier local authority,2020-05-06,1,,,750,,
Havering,E09000016,Upper tier local authority,2020-05-06,1,,,671,,
Harrow,E09000015,Upper tier local authority,2020-05-06,4,,,979,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-06,1,,,637,,
Hackney,E09000012,Upper tier local authority,2020-05-06,3,,,622,,
Ealing,E09000009,Upper tier local authority,2020-05-06,2,,,1114,,
Croydon,E09000008,Upper tier local authority,2020-05-06,1,,,1446,,
Camden,E09000007,Upper tier local authority,2020-05-06,3,,,593,,
Bromley,E09000006,Upper tier local authority,2020-05-06,5,,,1144,,
Brent,E09000005,Upper tier local authority,2020-05-06,2,,,1394,,
Bexley,E09000004,Upper tier local authority,2020-05-06,7,,,661,,
Barnet,E09000003,Upper tier local authority,2020-05-06,3,,,1241,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-06,2,,,469,,
Gateshead,E08000037,Upper tier local authority,2020-05-06,8,,,936,,
Wakefield,E08000036,Upper tier local authority,2020-05-06,4,,,597,,
Leeds,E08000035,Upper tier local authority,2020-05-06,7,,,1576,,
Kirklees,E08000034,Upper tier local authority,2020-05-06,3,,,639,,
Bradford,E08000032,Upper tier local authority,2020-05-06,22,,,1059,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-06,1,,,916,,
Walsall,E08000030,Upper tier local authority,2020-05-06,2,,,1044,,
Sandwell,E08000028,Upper tier local authority,2020-05-06,1,,,1081,,
Dudley,E08000027,Upper tier local authority,2020-05-06,2,,,867,,
Birmingham,E08000025,Upper tier local authority,2020-05-06,2,,,3060,,
Sunderland,E08000024,Upper tier local authority,2020-05-06,8,,,1271,,
South Tyneside,E08000023,Upper tier local authority,2020-05-06,11,,,641,,
North Tyneside,E08000022,Upper tier local authority,2020-05-06,3,,,508,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-06,4,,,978,,
Sheffield,E08000019,Upper tier local authority,2020-05-06,7,,,2315,,
Rotherham,E08000018,Upper tier local authority,2020-05-06,4,,,789,,
Barnsley,E08000016,Upper tier local authority,2020-05-06,11,,,747,,
Wirral,E08000015,Upper tier local authority,2020-05-06,2,,,1093,,
Sefton,E08000014,Upper tier local authority,2020-05-06,1,,,852,,
Liverpool,E08000012,Upper tier local authority,2020-05-06,1,,,1503,,
Trafford,E08000009,Upper tier local authority,2020-05-06,3,,,669,,
Tameside,E08000008,Upper tier local authority,2020-05-06,2,,,528,,
Stockport,E08000007,Upper tier local authority,2020-05-06,1,,,938,,
Salford,E08000006,Upper tier local authority,2020-05-06,1,,,855,,
Rochdale,E08000005,Upper tier local authority,2020-05-06,2,,,640,,
Oldham,E08000004,Upper tier local authority,2020-05-06,2,,,903,,
Manchester,E08000003,Upper tier local authority,2020-05-06,6,,,1279,,
Bury,E08000002,Upper tier local authority,2020-05-06,1,,,632,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-06,2,,,444,,
Northumberland,E06000057,Upper tier local authority,2020-05-06,13,,,847,,
Wiltshire,E06000054,Upper tier local authority,2020-05-06,4,,,479,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-06,3,,,529,,
Shropshire,E06000051,Upper tier local authority,2020-05-06,6,,,586,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-06,2,,,897,,
Cheshire East,E06000049,Upper tier local authority,2020-05-06,5,,,980,,
County Durham,E06000047,Upper tier local authority,2020-05-06,10,,,1646,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-06,2,,,151,,
Southampton,E06000045,Upper tier local authority,2020-05-06,1,,,520,,
Portsmouth,E06000044,Upper tier local authority,2020-05-06,8,,,307,,
West Berkshire,E06000037,Upper tier local authority,2020-05-06,1,,,343,,
Medway,E06000035,Upper tier local authority,2020-05-06,3,,,675,,
Peterborough,E06000031,Upper tier local authority,2020-05-06,1,,,294,,
Swindon,E06000030,Upper tier local authority,2020-05-06,2,,,397,,
Plymouth,E06000026,Upper tier local authority,2020-05-06,11,,,328,,
South Gloucestershire,E06000025,Upper tier local authority,2020-05-06,3,,,371,,
North Somerset,E06000024,Upper tier local authority,2020-05-06,9,,,287,,
"Bristol, City of",E06000023,Upper tier local authority,2020-05-06,3,,,657,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-06,21,,,585,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-05-06,1,,,303,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-06,8,,,348,,
Leicester,E06000016,Upper tier local authority,2020-05-06,4,,,730,,
Derby,E06000015,Upper tier local authority,2020-05-06,1,,,518,,
York,E06000014,Upper tier local authority,2020-05-06,9,,,377,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-05-06,6,,,713,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-05-06,5,,,565,,
Blackpool,E06000009,Upper tier local authority,2020-05-06,1,,,493,,
Halton,E06000006,Upper tier local authority,2020-05-06,1,,,341,,
Darlington,E06000005,Upper tier local authority,2020-05-06,1,,,322,,
Stockton-on-Tees,E06000004,Upper tier local authority,2020-05-06,1,,,433,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-05-06,6,,,356,,
Middlesbrough,E06000002,Upper tier local authority,2020-05-06,2,,,615,,
England,E92000001,Nation,2020-05-05,1258,562,696,132972,131840,1132
South West,E12000009,Region,2020-05-05,59,,,6848,,
South East,E12000008,Region,2020-05-05,190,,,18867,,
London,E12000007,Region,2020-05-05,95,,,25561,,
East of England,E12000006,Region,2020-05-05,89,,,11810,,
West Midlands,E12000005,Region,2020-05-05,184,,,14498,,
East Midlands,E12000004,Region,2020-05-05,54,,,7424,,
Yorkshire and The Humber,E12000003,Region,2020-05-05,150,,,11827,,
North West,E12000002,Region,2020-05-05,250,,,21819,,
North East,E12000001,Region,2020-05-05,134,,,8716,,
Worcestershire,E10000034,Upper tier local authority,2020-05-05,5,,,1224,,
West Sussex,E10000032,Upper tier local authority,2020-05-05,5,,,1224,,
Warwickshire,E10000031,Upper tier local authority,2020-05-05,21,,,1286,,
Surrey,E10000030,Upper tier local authority,2020-05-05,17,,,2720,,
Suffolk,E10000029,Upper tier local authority,2020-05-05,7,,,1233,,
Staffordshire,E10000028,Upper tier local authority,2020-05-05,30,,,1907,,
Somerset,E10000027,Upper tier local authority,2020-05-05,3,,,556,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-05,29,,,1687,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-05,8,,,1197,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-05,32,,,1120,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-05,6,,,1105,,
Norfolk,E10000020,Upper tier local authority,2020-05-05,40,,,1804,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-05,4,,,906,,
Leicestershire,E10000018,Upper tier local authority,2020-05-05,10,,,1009,,
Lancashire,E10000017,Upper tier local authority,2020-05-05,30,,,3091,,
Kent,E10000016,Upper tier local authority,2020-05-05,75,,,4026,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-05,9,,,2483,,
Hampshire,E10000014,Upper tier local authority,2020-05-05,20,,,2969,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-05,16,,,1309,,
Essex,E10000012,Upper tier local authority,2020-05-05,16,,,2807,,
East Sussex,E10000011,Upper tier local authority,2020-05-05,11,,,635,,
Devon,E10000008,Upper tier local authority,2020-05-05,3,,,756,,
Derbyshire,E10000007,Upper tier local authority,2020-05-05,7,,,1377,,
Cumbria,E10000006,Upper tier local authority,2020-05-05,24,,,2052,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-05,10,,,881,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-05,3,,,876,,
Westminster,E09000033,Upper tier local authority,2020-05-05,2,,,635,,
Wandsworth,E09000032,Upper tier local authority,2020-05-05,2,,,952,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-05,3,,,739,,
Sutton,E09000029,Upper tier local authority,2020-05-05,5,,,706,,
Southwark,E09000028,Upper tier local authority,2020-05-05,5,,,1228,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-05,3,,,389,,
Redbridge,E09000026,Upper tier local authority,2020-05-05,3,,,706,,
Newham,E09000025,Upper tier local authority,2020-05-05,3,,,967,,
Merton,E09000024,Upper tier local authority,2020-05-05,2,,,667,,
Lewisham,E09000023,Upper tier local authority,2020-05-05,4,,,949,,
Lambeth,E09000022,Upper tier local authority,2020-05-05,2,,,1163,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-05,1,,,479,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-05,1,,,475,,
Islington,E09000019,Upper tier local authority,2020-05-05,1,,,429,,
Hounslow,E09000018,Upper tier local authority,2020-05-05,1,,,692,,
Hillingdon,E09000017,Upper tier local authority,2020-05-05,5,,,749,,
Havering,E09000016,Upper tier local authority,2020-05-05,4,,,670,,
Harrow,E09000015,Upper tier local authority,2020-05-05,10,,,975,,
Haringey,E09000014,Upper tier local authority,2020-05-05,3,,,564,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-05,1,,,636,,
Hackney,E09000012,Upper tier local authority,2020-05-05,3,,,619,,
Greenwich,E09000011,Upper tier local authority,2020-05-05,2,,,658,,
Enfield,E09000010,Upper tier local authority,2020-05-05,4,,,852,,
Ealing,E09000009,Upper tier local authority,2020-05-05,2,,,1112,,
Croydon,E09000008,Upper tier local authority,2020-05-05,1,,,1445,,
Camden,E09000007,Upper tier local authority,2020-05-05,2,,,590,,
Bromley,E09000006,Upper tier local authority,2020-05-05,9,,,1139,,
Brent,E09000005,Upper tier local authority,2020-05-05,4,,,1392,,
Bexley,E09000004,Upper tier local authority,2020-05-05,2,,,654,,
Barnet,E09000003,Upper tier local authority,2020-05-05,3,,,1238,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-05,2,,,467,,
Gateshead,E08000037,Upper tier local authority,2020-05-05,14,,,928,,
Wakefield,E08000036,Upper tier local authority,2020-05-05,16,,,593,,
Leeds,E08000035,Upper tier local authority,2020-05-05,27,,,1569,,
Kirklees,E08000034,Upper tier local authority,2020-05-05,7,,,636,,
Calderdale,E08000033,Upper tier local authority,2020-05-05,8,,,268,,
Bradford,E08000032,Upper tier local authority,2020-05-05,13,,,1037,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-05,7,,,915,,
Walsall,E08000030,Upper tier local authority,2020-05-05,5,,,1042,,
Solihull,E08000029,Upper tier local authority,2020-05-05,5,,,607,,
Sandwell,E08000028,Upper tier local authority,2020-05-05,12,,,1080,,
Dudley,E08000027,Upper tier local authority,2020-05-05,5,,,865,,
Coventry,E08000026,Upper tier local authority,2020-05-05,4,,,728,,
Birmingham,E08000025,Upper tier local authority,2020-05-05,47,,,3058,,
Sunderland,E08000024,Upper tier local authority,2020-05-05,13,,,1263,,
South Tyneside,E08000023,Upper tier local authority,2020-05-05,10,,,630,,
North Tyneside,E08000022,Upper tier local authority,2020-05-05,9,,,505,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-05,13,,,974,,
Sheffield,E08000019,Upper tier local authority,2020-05-05,2,,,2308,,
Rotherham,E08000018,Upper tier local authority,2020-05-05,3,,,785,,
Barnsley,E08000016,Upper tier local authority,2020-05-05,1,,,736,,
Wirral,E08000015,Upper tier local authority,2020-05-05,12,,,1091,,
Sefton,E08000014,Upper tier local authority,2020-05-05,2,,,851,,
St. Helens,E08000013,Upper tier local authority,2020-05-05,3,,,687,,
Liverpool,E08000012,Upper tier local authority,2020-05-05,1,,,1502,,
Knowsley,E08000011,Upper tier local authority,2020-05-05,12,,,606,,
Wigan,E08000010,Upper tier local authority,2020-05-05,13,,,923,,
Trafford,E08000009,Upper tier local authority,2020-05-05,9,,,666,,
Tameside,E08000008,Upper tier local authority,2020-05-05,11,,,526,,
Stockport,E08000007,Upper tier local authority,2020-05-05,13,,,937,,
Salford,E08000006,Upper tier local authority,2020-05-05,11,,,854,,
Rochdale,E08000005,Upper tier local authority,2020-05-05,16,,,638,,
Oldham,E08000004,Upper tier local authority,2020-05-05,18,,,901,,
Manchester,E08000003,Upper tier local authority,2020-05-05,25,,,1273,,
Bury,E08000002,Upper tier local authority,2020-05-05,4,,,631,,
Bolton,E08000001,Upper tier local authority,2020-05-05,12,,,875,,
Dorset,E06000059,Upper tier local authority,2020-05-05,1,,,343,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-05,1,,,442,,
Northumberland,E06000057,Upper tier local authority,2020-05-05,8,,,834,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-05,1,,,543,,
Wiltshire,E06000054,Upper tier local authority,2020-05-05,3,,,475,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-05,6,,,526,,
Shropshire,E06000051,Upper tier local authority,2020-05-05,12,,,580,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-05,4,,,895,,
Cheshire East,E06000049,Upper tier local authority,2020-05-05,17,,,975,,
County Durham,E06000047,Upper tier local authority,2020-05-05,34,,,1636,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-05,1,,,149,,
Southampton,E06000045,Upper tier local authority,2020-05-05,4,,,519,,
